weight_monotonicity, weight_smoothness, weight_empty, weight_max_corner, weight_max_tile, weight_node_average, weight_node_access, score, max_tile
1.87, 2.27, 1.59, 1.47, 1.2, 1.69, 0.34, 6624, 512
1.87, 2.27, 1.59, 1.47, 1.2, 1.69, 0.34, 7004, 512
1.87, 2.27, 1.59, 1.47, 1.2, 1.69, 0.34, 11660, 1024
1.87, 2.27, 1.59, 1.47, 1.2, 1.69, 0.34, 14664, 1024
1.54, 2.79, 0.56, 0.76, 0.98, 0.17, 0.14, 3100, 256
1.54, 2.79, 0.56, 0.76, 0.98, 0.17, 0.14, 3924, 256
1.54, 2.79, 0.56, 0.76, 0.98, 0.17, 0.14, 5120, 512
1.54, 2.79, 0.56, 0.76, 0.98, 0.17, 0.14, 7176, 512
1.54, 2.79, 0.56, 0.76, 0.98, 0.17, 0.14, 12084, 1024
2.38, 0.81, 0.5, 1.34, 1.06, 1.2, 0.33, 4780, 512
2.38, 0.81, 0.5, 1.34, 1.06, 1.2, 0.33, 6288, 512
2.38, 0.81, 0.5, 1.34, 1.06, 1.2, 0.33, 6496, 512
2.38, 0.81, 0.5, 1.34, 1.06, 1.2, 0.33, 6876, 512
2.38, 0.81, 0.5, 1.34, 1.06, 1.2, 0.33, 7360, 512
2.46, 2.05, 1.86, 0.71, 0.49, 1.23, 0.15, 4708, 512
2.46, 2.05, 1.86, 0.71, 0.49, 1.23, 0.15, 6312, 512
2.46, 2.05, 1.86, 0.71, 0.49, 1.23, 0.15, 7116, 512
2.46, 2.05, 1.86, 0.71, 0.49, 1.23, 0.15, 11324, 1024
2.46, 2.05, 1.86, 0.71, 0.49, 1.23, 0.15, 13584, 1024
1.5, 2.67, 0.53, 1.49, 0.83, 0.8, 0.09, 3624, 256
1.5, 2.67, 0.53, 1.49, 0.83, 0.8, 0.09, 4508, 256
1.5, 2.67, 0.53, 1.49, 0.83, 0.8, 0.09, 6764, 512
1.5, 2.67, 0.53, 1.49, 0.83, 0.8, 0.09, 6956, 512
1.5, 2.67, 0.53, 1.49, 0.83, 0.8, 0.09, 9212, 512
1.19, 2.71, 1.02, 1.26, 0.99, 0.75, 0.31, 2740, 256
1.19, 2.71, 1.02, 1.26, 0.99, 0.75, 0.31, 6700, 512
1.19, 2.71, 1.02, 1.26, 0.99, 0.75, 0.31, 7172, 512
1.19, 2.71, 1.02, 1.26, 0.99, 0.75, 0.31, 10796, 1024
1.19, 2.71, 1.02, 1.26, 0.99, 0.75, 0.31, 12084, 1024
1.99, 0.56, 0.92, 0.6, 1.1, 0.75, 0.39, 3304, 256
1.99, 0.56, 0.92, 0.6, 1.1, 0.75, 0.39, 6392, 512
1.99, 0.56, 0.92, 0.6, 1.1, 0.75, 0.39, 7140, 512
1.99, 0.56, 0.92, 0.6, 1.1, 0.75, 0.39, 8816, 512
1.99, 0.56, 0.92, 0.6, 1.1, 0.75, 0.39, 11852, 1024
2.93, 0.74, 1.57, 1.48, 0.67, 0.19, 0.14, 3180, 256
2.93, 0.74, 1.57, 1.48, 0.67, 0.19, 0.14, 4976, 512
2.93, 0.74, 1.57, 1.48, 0.67, 0.19, 0.14, 8544, 512
2.93, 0.74, 1.57, 1.48, 0.67, 0.19, 0.14, 10140, 1024
2.93, 0.74, 1.57, 1.48, 0.67, 0.19, 0.14, 10564, 1024
2.96, 2.01, 1.03, 0.92, 0.73, 1.22, 0.26, 2648, 256
2.96, 2.01, 1.03, 0.92, 0.73, 1.22, 0.26, 3896, 256
2.96, 2.01, 1.03, 0.92, 0.73, 1.22, 0.26, 6136, 512
2.96, 2.01, 1.03, 0.92, 0.73, 1.22, 0.26, 7200, 512
2.96, 2.01, 1.03, 0.92, 0.73, 1.22, 0.26, 15112, 1024
2.14, 2.07, 1.82, 0.7, 0.53, 0.13, 0.17, 1428, 128
2.14, 2.07, 1.82, 0.7, 0.53, 0.13, 0.17, 4636, 512
2.14, 2.07, 1.82, 0.7, 0.53, 0.13, 0.17, 6476, 512
