alpha,beta,score,max_tile
0.3, 0.05, 6504, 512
0.3, 0.05, 7716, 512
0.3, 0.05, 7980, 512
0.3, 0.05, 7868, 512
0.3, 0.05, 8140, 512
0.3, 0.05, 1956, 128
0.3, 0.05, 3224, 256
0.3, 0.05, 7252, 512
0.3, 0.05, 8028, 512
0.3, 0.05, 8936, 512
0.3, 0.1, 1532, 128
0.3, 0.1, 3696, 256
0.3, 0.1, 3904, 256
0.3, 0.1, 6800, 512
0.3, 0.1, 9752, 512
0.3, 0.1, 2696, 256
0.3, 0.1, 4360, 256
0.3, 0.1, 4288, 256
0.3, 0.1, 6460, 512
0.3, 0.1, 15372, 1024
0.3, 0.15, 3192, 256
0.3, 0.15, 7068, 512
0.3, 0.15, 10752, 1024
0.3, 0.15, 13168, 1024
0.3, 0.15, 15896, 1024
0.3, 0.15, 6000, 512
0.3, 0.15, 6036, 256
0.3, 0.15, 10660, 512
0.3, 0.15, 12620, 1024
0.3, 0.15, 17488, 1024
0.3, 0.2, 8088, 512
0.3, 0.2, 8348, 512
0.3, 0.2, 8968, 512
0.3, 0.2, 9108, 512
0.3, 0.2, 17572, 1024
0.3, 0.2, 10516, 1024
0.3, 0.2, 9804, 512
0.3, 0.2, 12040, 1024
0.3, 0.2, 13284, 1024
0.3, 0.2, 13588, 1024
0.3, 0.25, 7828, 512
0.3, 0.25, 14704, 1024
0.3, 0.25, 14588, 1024
0.3, 0.25, 26812, 2048
0.3, 0.25, 27532, 2048
0.3, 0.25, 7372, 512
0.3, 0.25, 8220, 512
0.3, 0.25, 13884, 1024
0.3, 0.25, 16332, 1024
0.3, 0.25, 17216, 1024
0.3, 0.3, 2872, 256
0.3, 0.3, 5132, 256
0.3, 0.3, 10812, 1024
0.3, 0.3, 16104, 1024
0.3, 0.3, 24296, 2048
0.3, 0.3, 7412, 512
0.3, 0.3, 10232, 1024
0.3, 0.3, 10440, 1024
0.3, 0.3, 16288, 1024
0.3, 0.3, 26480, 2048
0.3, 0.35, 11620, 1024
0.3, 0.35, 12900, 1024
0.3, 0.35, 14596, 1024
0.3, 0.35, 15504, 1024
0.3, 0.35, 20808, 1024
0.3, 0.35, 8064, 512
0.3, 0.35, 10808, 1024
0.3, 0.35, 9256, 512
0.3, 0.35, 10988, 512
0.3, 0.35, 16568, 1024
0.3, 0.4, 10652, 1024
0.3, 0.4, 16240, 1024
0.3, 0.4, 16560, 1024
0.3, 0.4, 34352, 2048
0.3, 0.4, 38068, 2048
0.3, 0.4, 11836, 1024
0.3, 0.4, 16132, 1024
0.3, 0.4, 16200, 1024
0.3, 0.4, 17024, 1024
0.3, 0.4, 17660, 1024
0.3, 0.45, 12064, 1024
0.3, 0.45, 12788, 1024
0.3, 0.45, 13248, 1024
0.3, 0.45, 27984, 2048
0.3, 0.45, 31852, 2048
0.3, 0.45, 7472, 512
0.3, 0.45, 12628, 1024
0.3, 0.45, 16480, 1024
0.3, 0.45, 24828, 2048
0.3, 0.45, 26636, 2048
0.3, 0.5, 6456, 512
0.3, 0.5, 7736, 512
